id,interface,application
tidal,win_winrt,TIDAL.exe
tidal,win_winrt,com.squirrel.TIDAL.TIDAL
tidal,win_winrt,WiMPMusic.27241E05630EA_kn85bz84x7te4!TIDAL
tidal,mac_mediaremote,com.tidal.desktop
tidal,lin_mpris,tidal-hifi
tidal,web_domain,tidal.com
tidal,web_domain,listen.tidal.com
tidal,web_domain,listen.stage.tidal.com
qobuz,win_winrt,Qobuz.exe
qobuz,win_winrt,com.squirrel.Qobuz.Qobuz
qobuz,web_domain,qobuz.com
qobuz,web_domain,play.qobuz.com
qobuz,web_domain,open.qobuz.com
spotify,win_winrt,Spotify.exe
spotify,win_winrt,SpotifyAB.SpotifyMusic_zpdnekdrzrea0!Spotify
spotify,mac_mediaremote,com.spotify.client
spotify,lin_mpris,spotify
spotify,web_domain,open.spotify.com
foobar2000,win_winrt,foobar2000.exe
foobar2000,mac_mediaremote,com.foobar2000.mac
amazon-music,win_winrt,Amazon Music.exe
amazon-music,win_winrt,AmazonMobileLLC.AmazonMusic_kc6t79cpj4tp0!AmazonMobileLLC.AmazonMusic
amazon-music,win_winrt,Amazon.Music
amazon-music,mac_mediaremote,com.amazon.music
amazon-music,web_domain,music.amazon.ae
amazon-music,web_domain,music.amazon.ca
amazon-music,web_domain,music.amazon.cn
amazon-music,web_domain,music.amazon.co.jp
amazon-music,web_domain,music.amazon.co.uk
amazon-music,web_domain,music.amazon.co.za
amazon-music,web_domain,music.amazon.com
amazon-music,web_domain,music.amazon.com.au
amazon-music,web_domain,music.amazon.com.be
amazon-music,web_domain,music.amazon.com.br
amazon-music,web_domain,music.amazon.com.mx
amazon-music,web_domain,music.amazon.com.tr
amazon-music,web_domain,music.amazon.de
amazon-music,web_domain,music.amazon.eg
amazon-music,web_domain,music.amazon.es
amazon-music,web_domain,music.amazon.fr
amazon-music,web_domain,music.amazon.ie
amazon-music,web_domain,music.amazon.in
amazon-music,web_domain,music.amazon.it
amazon-music,web_domain,music.amazon.nl
amazon-music,web_domain,music.amazon.pl
amazon-music,web_domain,music.amazon.sa
amazon-music,web_domain,music.amazon.se
amazon-music,web_domain,music.amazon.sg
musicbee,win_winrt,MusicBee.exe
musicbee,win_winrt,50072StevenMayall.MusicBee_kcr266et74avj!MusicBeePackage
deezer,win_winrt,Deezer.exe
deezer,win_winrt,com.deezer.deezer-desktop
deezer,win_winrt,Deezer.62021768415AF_q7m17pa7q8kj0!Deezer.Music
deezer,mac_mediaremote,com.deezer.deezer-desktop
deezer,web_domain,deezer.com
apple-music,mac_mediaremote,com.apple.Music
apple-music,win_winrt,AppleMusic.exe
apple-music,win_winrt,AppleInc.AppleMusicWin_nzyj5cx40ttqa!App
apple-music,win_winrt,AppleInc.AppleMusicWin_nzyj5cx40ttqa!APP
apple-music,web_domain,music.apple.com
windows-media-player,win_winrt,Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic
youtube-music,web_domain,music.youtube.com
youtube-music,win_winrt,YouTube Music.exe
youtube-music,win_winrt,com.github.th-ch.youtube-music
youtube-music,win_winrt,music.youtube.com-5929F88E_vezhnr0wkvrcy!App
youtube-music,win_winrt,music.youtube.com-5929F88E_vezhnr0wkvrcy!APP
youtube-music,lin_mpris,YoutubeMusic
next-player,win_winrt,60490polApki.Next-Player_4j2bpc236qkhp!App
next-player,win_winrt,60490polApki.Next-Player_4j2bpc236qkhp!APP
wacup,win_winrt,wacup.exe
winamp,win_winrt,winamp.exe
nora,win_winrt,Nora.exe
nora,win_winrt,com.sandakannipunajith.nora
aimp,win_winrt,AIMP.exe
soundcloud,win_winrt,SoundcloudLtd.SoundCloudforWindowsBeta_2xc63xn306dnw!App
soundcloud,win_winrt,SoundcloudLtd.SoundCloudforWindowsBeta_2xc63xn306dnw!APP
soundcloud,win_winrt,SoundCloud.exe
soundcloud,web_domain,soundcloud.com
soundcloud,web_domain,snd.sc
dopamine,win_winrt,com.digimezzo.dopamine
dopamine,win_winrt,Dopamine.exe
mediamonkey,win_winrt,MediaMonkey.exe
vlc,win_winrt,vlc.exe
vlc,win_winrt,VideoLAN.VLC_paz6r1rewnh0a!App
vlc,win_winrt,VideoLAN.VLC_paz6r1rewnh0a!APP
vlc,lin_mpris,vlc
harmonoid,win_winrt,harmonoid.exe
harmonoid,lin_mpris,harmonoid
pocket-casts,win_winrt,com.squirrel.pocket_casts_desktop.PocketCasts
pocket-casts,win_winrt,Pocket Casts.exe
pocket-casts,web_domain,play.pocketcasts.com
yandex-music,win_winrt,A025C540.Yandex.Music_vfvw9svesycw6!App
yandex-music,win_winrt,A025C540.Yandex.Music_vfvw9svesycw6!APP
yandex-music,win_winrt,ru.yandex.desktop.music
yandex-music,win_winrt,music.yandex.com
yandex-music,win_winrt,music.yandex.ru
podurama,win_winrt,Podurama.exe
podurama,web_domain,podurama.com
youtube,win_winrt,YouTube.exe
youtube,web_domain,youtube.com
youtube,web_domain,youtu.be
cider,mac_mediaremote,sh.cider.electron
cider,win_winrt,27554FireDevElijahKlauman.CiderEA_270bejk4xgzqp!App
cider,win_winrt,27554FireDevElijahKlauman.CiderEA_270bejk4xgzqp!APP
cider,lin_mpris,cider
mpv,win_winrt,mpv.exe
