id,name,pure,service,discord_application_id
tidal,TIDAL,true,true,1246943204411179120
qobuz,Qobuz,true,true,1247655024637513778
spotify,Spotify,true,true,1247651846936596540
foobar2000,foobar2000,true,false,1247654172975956088
amazon-music,Amazon Music,true,true,1247654006587789363
musicbee,MusicBee,true,false,1247654771557666889
deezer,Deezer,true,true,1247654082215284847
apple-music,Apple Music,true,true,1247654840780460125
windows-media-player,Windows Media Player,false,false,1247847866622410784
youtube-music,YouTube Music,true,true,1247847788302172273
next-player,Next-Player,true,false,1282830052949491795
wacup,WACUP,true,false,1285497226835132467
winamp,Winamp,true,false,1285501118318645292
nora,Nora,true,false,1285504688363409408
aimp,AIMP,true,false,1285510241810911232
soundcloud,SoundCloud,true,true,1285553804518887508
dopamine,Dopamine,true,false,1285571881667268618
mediamonkey,MediaMonkey,true,false,1285577373114437703
vlc,VLC,false,false,1285586777616420885
harmonoid,Harmonoid,true,false,1290678776958812262
pocket-casts,Pocket Casts,true,true,1291170916952309782
yandex-music,Yandex Music,true,true,1295649755535511592
podurama,Podurama,true,true,1300521928309735476
youtube,YouTube,false,true,1301894190904639559
cider,Cider,true,true,1302023626018787379
mpv,mpv,false,false,1302982880515063908
itunes,iTunes,true,false,1302986144643809310
jellyfin,Jellyfin,false,false,1304291534463832215
apple-podcasts,Apple Podcasts,true,true,1308949234829234228
amberol,Amberol,true,false,1311726568812314685
g4music,Gapless,true,false,1311728308387450990
gnome-music,GNOME Music,true,false,1311729810908774481
gnome-lollypop,Lollypop,true,false,1311730912450445324
recordbox,Recordbox,true,false,1311731989648511088
strawberry,Strawberry,true,false,1311732691699367998
clementine,Clementine,true,false,1311739842790686740
tauon,Tauon,true,false,1311745484028772412
cmus,cmus,true,false,1311746369626832896
kew,kew,true,false,1311751552607715348
fooyin,fooyin,true,false,1311751990245720115
elisa,Elisa,true,false,1311754436711813180
harmony,Harmony,true,false,1312403971981447249
melon,Melon,true,true,1312404602221494333
